"U:0","U:1","U:2","p","IntegrationTime","Vorticity:0","Vorticity:1","Vorticity:2","Rotation","AngularVelocity","Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.48498,0,-0.001484,0.00053444,0.72169,1.4737e-16,-9.6194,8.756e-15,-3.6705e-16,1.2058e-16,2.325e-10,-1,7.5981e-08,0.25701,-1.2273e-23,-0.0099318
0.48759,0,-0.0014772,0.00053099,0.72449,-1.0134e-16,-9.5058,5.9919e-15,-3.6704e-16,-1.1949e-16,2.3018e-10,-1,7.5981e-08,0.25837,-1.2273e-23,-0.0099359
0.49017,0,-0.0014698,0.0005268,0.72727,4.1974e-16,-9.3933,-1.1494e-14,-3.6658e-16,4.542e-16,2.2781e-10,-1,7.5981e-08,0.25973,-1.2273e-23,-0.00994
0.49271,0,-0.0014617,0.00052172,0.73004,-2.3513e-16,-9.2821,1.3777e-14,-3.6633e-16,-2.76e-16,2.2541e-10,-1,7.5981e-08,0.26109,-1.2273e-23,-0.0099441
0.49523,0,-0.0014534,0.00051608,0.73279,2.9671e-16,-9.1736,4.5029e-15,-3.6632e-16,2.8349e-16,2.2298e-10,-1,7.5981e-08,0.26244,-1.2273e-23,-0.0099481
0.49772,0,-0.001445,0.00050992,0.73554,2.2545e-16,-9.0667,-5.1698e-15,-3.656e-16,2.4046e-16,2.2059e-10,-1,7.5981e-08,0.2638,-1.2273e-23,-0.0099521
0.50019,0,-0.0014366,0.00050331,0.73826,-3.2975e-16,-8.9612,5.611e-15,-3.6575e-16,-3.4586e-16,2.1824e-10,-1,7.5981e-08,0.26516,-1.2273e-23,-0.009956
0.50262,0,-0.0014283,0.00049621,0.74098,2.7407e-16,-8.8569,1.0552e-16,-3.6585e-16,2.7377e-16,2.1592e-10,-1,7.5981e-08,0.26651,-1.2273e-23,-0.0099598
0.50503,0,-0.0014204,0.0004887,0.74368,2.8041e-16,-8.754,4.9636e-15,-3.6512e-16,2.6645e-16,2.1777e-10,-1,7.7428e-08,0.26787,-1.2273e-23,-0.0099637
0.50741,0,-0.001413,0.00048091,0.74636,-2.414e-16,-8.6523,-1.3367e-17,-3.6508e-16,-2.4136e-16,2.2349e-10,-1,8.0245e-08,0.26923,-1.2273e-23,-0.0099675
